county,pop
29209,58345
29211,5562
21021,1630
21023,2841
21025,5529
21027,12930
21029,37064
21031,3926
29225,30583
21035,1963
21037,77344
21039,1828
21041,7781
5065,9926
21043,15418
21045,13663
54025,30554
53075,68501
21051,4297
21053,7479
21055,1617
21057,5420
13067,558872
21061,3766
21063,1994
21067,229086
21069,11587
54029,34646
21075,4134
21077,9452
21081,13664
13071,5818
21085,34101
21087,8562
21089,67804
21091,5529
21093,82768
54033,49847
39015,9633
21101,37682
5067,6861
21103,4528
21105,17108
54035,13361
21109,6511
53077,237422
21111,649293
21113,77441
21115,21121
21117,211630
54037,55716
21121,14011
21123,17487
21125,62615
21127,31972
21129,16657
54039,145908
21133,25105
21135,11161
21137,51221
21139,14390
21143,3316
21145,39893
21147,16909
21149,43112
21151,62655
21155,10961
21157,81609
21159,10209
21161,20745
5069,52252
21163,37222
21165,3042
21167,4512
21169,14545
21171,16146
6051,25842
21173,26001
21175,20746
21177,24191
21179,23527
21181,39423
21183,50362
21185,88197
21187,11149
21189,2554
5051,8425
54049,20870
21193,27741
21195,74153
21197,14594
21199,58011
21201,7102
13011,2671
21205,38105
13015,21849
21209,40107
21211,58189
21213,37181
21215,49045
13025,7507
21219,31071
21221,29079
5071,12896
21223,8804
21225,11088
21227,108547
21229,57512
13039,52973
21233,32907
54003,60447
21237,9973
21239,130636
54009,19350
54011,60823
13053,2118
54015,6057
13057,128604
54019,36717
54021,4308
13063,84931
13065,3003
54027,18903
13069,23929
54031,12886
13073,17643
13075,12957
13077,60867
13079,9394
54041,17429
54043,27641
54045,33406
54047,13657
13089,375953
5073,6406
54051,26021
54053,22497
54055,56596
13097,135601
54059,21945
54061,70122
54063,16270
54065,44556
13107,18499
13109,6915
13111,9481
13113,120525
13115,79390
54077,29679
54079,79362
13121,930800
54083,22759
54085,9418
29510,559220
54087,26658
54089,16832
54091,64575
54093,7630
54095,6888
54097,18977
54099,72373
54101,8673
54073,4597
54105,5396
54107,100179
54109,24412
5075,15609
13151,86993
13153,100609
54075,8127
13157,110095
13159,13033
13161,28924
13163,16357
13165,9010
13117,98751
13169,27017
53007,63868
13173,4739
13175,46407
13177,80377
13179,28618
13183,36028
13185,115796
13189,34853
54081,73814
13193,8200
13195,55710
13197,5790
13199,31005
5009,1465
13123,39987
13205,9956
13207,73197
13209,3161
5077,8004
13211,5053
13213,36555
13215,181983
5107,23626
13217,32739
13219,164052
13221,17434
13223,300039
13225,45260
13227,95143
13229,22968
13231,15419
13233,63633
13235,22782
13237,16532
13129,46620
13241,16920
46011,1946
29083,16491
13245,253040
29221,62307
13247,340902
13249,4034
13251,12913
46021,1552
13255,92739
13257,33286
13259,5575
13261,38424
13133,9714
13265,5659
13267,22469
13269,6280
5079,69374
13271,13298
46041,6823
13135,694509
13277,38984
13279,31157
13281,7290
13283,7478
13285,73469
13287,5720
13289,30638
13291,19101
13293,39117
13295,112091
13297,195298
13299,43919
13301,8598
13303,34829
13305,23472
13307,870
13309,1656
13311,72751
13313,131921
13315,30875
13317,17902
13319,48249
13321,94738
54103,19847
46093,31333
46095,2218
46097,7193
5081,13175
46099,179394
46101,27917
13145,9279
46105,3647
39087,52172
46109,10618
46111,18885
46113,11658
13147,41863
46117,2234
46119,19010
46121,6858
46123,7258
46125,12639
13149,55645
46129,5226
46135,23504
49021,6591
5083,30552
49001,5850
13155,35102
39099,241024
38001,1072
38003,8778
38005,1955
38009,4770
38011,3099
38013,401
38015,47359
38017,135674
38019,2191
38021,1128
38023,1214
38025,1817
5085,1383
38027,2218
38029,26454
38033,3138
38035,59882
38037,1887
38039,2858
38041,2958
13167,1895
38045,1666
38047,2235
38049,1782
38051,4912
38053,3964
38055,8297
38057,560
38059,21329
38061,7350
38063,3413
38065,10524
38067,7803
31023,5288
38069,5416
38071,11311
38073,6243
38075,2405
38077,16300
38079,11064
38081,7767
38083,1269
38085,5063
5087,15114
49005,98456
38089,25706
38091,1446
5109,17695
38093,24861
38095,6675
38097,9388
38099,12866
38101,61497
38103,10455
38105,22261
20003,3929
29223,8814
39123,26742
5089,53025
5055,87160
29095,626898
13001,4082
13191,10302
30001,6274
30003,8338
30005,6551
30007,2655
30009,8521
39135,79214
30013,67897
30015,3565
30017,11550
30019,1522
30021,6866
30023,2568
30025,2901
30027,11056
30029,65855
30031,53439
30033,1017
30035,11349
30039,2360
30041,17172
30043,5461
30045,2077
30047,32422
30049,57110
30051,1883
30053,17753
30055,1794
30057,10535
30059,1536
30061,3590
30063,90815
30065,4110
30067,33735
30069,474
30071,4785
30073,4375
30075,1139
30077,6045
30079,2373
30081,35479
30083,10891
30085,7080
48193,8515
30087,7709
30089,11910
30091,4910
30093,39092
30095,3883
30097,5574
30099,15563
30101,4428
30103,845
30105,5655
30107,2433
30109,962
30111,137374
5019,5498
5021,9307
35059,2260
5095,7083
5023,19592
48195,5319
5025,12191
5027,1647
20099,9149
5029,13118
5031,31344
21191,34353
22001,9048
22003,4671
22005,73243
22007,12264
22009,19021
22011,12543
22013,4425
48197,4451
22015,91819
22017,228297
22019,129022
22021,1522
22023,32225
22025,3380
22027,11532
22029,10794
22031,23724
22033,381832
39171,46004
22037,42689
22039,8490
22041,19849
22043,13645
22045,21586
22047,27410
22049,10841
22051,376947
22053,74360
22055,147852
22057,46664
22059,19275
22061,43925
22063,107882
22065,10320
46003,804
22069,3267
22071,165748
22073,131536
48199,49480
22077,19931
46005,3230
22081,11307
22083,25749
22085,31130
22089,51261
6039,174018
46007,2798
22093,14052
22095,50878
22097,139423
22099,64032
22101,61812
46009,3580
22105,114295
22107,11439
22109,147633
22111,25729
31015,2603
22115,66749
22117,54457
22119,58249
22121,38308
22123,11125
22125,11236
46013,28705
48201,3701446
46015,5454
20075,2780
46017,1150
48253,9257
46019,5659
5061,8462
31003,3193
5103,23871
46023,7760
48203,52272
46025,2195
46027,9218
46029,3597
55001,5660
13263,27517
55005,8587
55007,21295
55009,142816
55011,7913
55013,10119
55015,6769
55017,3989
55019,8464
55021,19617
48205,7665
55023,8519
55025,400091
55027,66775
55029,30072
55031,45475
55033,40442
55035,120229
55037,1391
55039,84262
55041,12374
55043,32639
55045,27966
55047,8159
55049,26774
55051,5706
31027,4950
55053,12179
55055,82608
55057,12090
55059,145586
55061,20363
55063,102757
55065,37143
55067,4169
55071,96777
49025,7080
55073,130045
13275,64778
5113,4942
55077,28890
55078,2475
55079,736623
55081,51112
48207,4921
55083,49677
55085,35905
48279,14834
55087,171480
55089,95492
55091,15489
55093,16006
55095,52445
55097,76064
55099,10103
55101,149336
55103,16450
55105,196383
55107,41193
55109,112719
13019,9329
55111,84281
55113,18667
55115,67187
55117,116695
55119,47917
55121,41010
55123,44884
55125,32896
21203,32027
55127,118966
55129,31316
55131,158788
49027,10582
55133,510112
55135,50601
55137,64992
55139,266515
55141,85144
48209,133911
46055,1738
6001,1129515
16019,51240
6005,27054
46057,27300
6009,38487
31039,12923
6013,1050975
29119,13649
6017,174631
13021,74785
46059,2426
6021,12141
6023,116896
6025,141778
6027,3269
6029,636569
46061,15054
6033,47110
40027,127633
31043,18958
6037,8685309
5111,41798
49029,8669
47001,24564
46063,626
47005,14290
6047,236147
47009,74455
48211,2862
47011,27393
47013,37588
5105,2875
47017,16855
47019,8500
6061,338101
6063,23035
47025,5824
47027,849
47029,7050
47031,24592
47033,3875
47035,38139
47037,445840
47039,2224
6081,668582
47043,19382
47045,24428
47047,13031
47049,1599
47051,2877
47053,42959
21207,17986
47055,25066
47057,12478
47059,37841
49031,1487
47061,5960
47063,35258
47065,281727
47067,16201
47069,23786
48213,39293
47071,16128
47073,80393
47075,37030
47077,33471
46031,3240
47079,11624
47081,35187
47083,7507
47085,18928
47087,5796
47089,64142
47091,16244
47093,289230
47095,2828
47097,27748
47099,13166
47101,6755
47103,15551
47105,63726
47107,32077
47109,30092
47111,19151
47113,129561
47115,39633
47117,1838
47119,55970
49033,2097
47121,18661
47123,50083
47125,171351
47127,88106
47129,13506
48215,702023
47131,15809
47133,25296
47135,3631
47137,19601
46033,3814
47139,60319
47141,43991
47143,26298
47145,129251
47147,62649
47149,277976
47151,27432
47153,70502
47155,150950
47157,832191
47159,18926
47161,15585
47163,144157
47165,179160
47167,80251
47169,6718
47171,41346
47173,76619
47175,13556
47177,64415
47179,156036
49035,913565
47181,42240
47183,82324
5115,69628
47185,55617
47187,276804
47189,160790
48217,30171
39001,9235
39003,64263
39005,6934
39007,72601
39009,30925
39011,12107
39013,35357
42001,76357
39017,83868
39019,14614
39021,997
29229,38378
39023,134609
39025,112924
39027,27023
39029,64241
39031,22676
39033,21992
39035,1218000
39037,33157
39039,924
39041,49041
39043,59081
39045,70019
39047,1284
49037,18341
39049,903292
42007,168547
39053,15811
39055,46067
6053,348043
39057,124520
48219,16219
39059,28157
39061,916780
42009,43388
39065,19604
46037,7200
39067,32452
